Time,C4,C12,RLU,OD,RLU_OD,Phase
0,0,0,44,0.129,341.085271317829,initial
0,0,0,40,0.127,314.96062992126,initial
0,0,0,30,0.127,236.220472440945,initial
0,0,0,35,0.127,275.590551181102,initial
0,0,0,35,0.128,273.4375,initial
0,0,0,19,0.113,168.141592920354,followup
0,0,0,17,0.112,151.785714285714,followup
0,0,0,16,0.108,148.148148148148,followup
0,0,0,12,0.108,111.111111111111,followup
0,0,0,9,0.117,76.9230769230769,followup
0,0,0,18,0.116,155.172413793103,followup
0,0,0.02,17,0.11,154.545454545455,followup
0,0,0.02,13,0.111,117.117117117117,followup
0,0,0.02,16,0.114,140.350877192982,followup
0,0,0.02,20,0.111,180.18018018018,followup
0,0,0.02,16,0.121,132.231404958678,followup
0,0,0.02,22,0.126,174.603174603175,followup
0,0,0.05,21,0.091,230.769230769231,followup
0,0,0.05,17,0.097,175.257731958763,followup
0,0,0.05,15,0.102,147.058823529412,followup
0,0,0.05,16,0.099,161.616161616162,followup
0,0,0.05,12,0.102,117.647058823529,followup
0,0,0.05,14,0.326,42.9447852760736,followup
0,0,0.1,52,0.127,409.448818897638,initial
0,0,0.1,50,0.128,390.625,initial
0,0,0.1,52,0.128,406.25,initial
0,0,0.1,45,0.133,338.345864661654,initial
0,0,0.1,47,0.132,356.060606060606,initial
0,0,0.1,16,0.101,158.415841584158,followup
0,0,0.1,12,0.099,121.212121212121,followup
0,0,0.1,13,0.103,126.21359223301,followup
0,0,0.1,14,0.095,147.368421052632,followup
0,0,0.1,15,0.095,157.894736842105,followup
0,0,0.1,12,0.093,129.032258064516,followup
0,0,0.2,22,0.087,252.873563218391,followup
0,0,0.2,16,0.096,166.666666666667,followup
0,0,0.2,20,0.1,200,followup
0,0,0.2,14,0.104,134.615384615385,followup
0,0,0.2,15,0.102,147.058823529412,followup
0,0,0.2,17,0.093,182.795698924731,followup
0,0,0.5,54,0.13,415.384615384615,initial
0,0,0.5,56,0.133,421.052631578947,initial
0,0,0.5,56,0.133,421.052631578947,initial
0,0,0.5,53,0.132,401.515151515152,initial
0,0,0.5,39,0.132,295.454545454545,initial
0,0,0.5,12,0.092,130.434782608696,followup
0,0,0.5,15,0.138,108.695652173913,followup
0,0,0.5,14,0.093,150.537634408602,followup
0,0,0.5,18,0.088,204.545454545455,followup
0,0,0.5,15,0.096,156.25,followup
0,0,0.5,13,0.087,149.425287356322,followup
0,0,1,52,0.131,396.946564885496,initial
0,0,1,48,0.129,372.093023255814,initial
0,0,1,49,0.129,379.84496124031,initial
0,0,1,57,0.129,441.860465116279,initial
0,0,1,50,0.139,359.712230215827,initial
0,0,2,51,0.131,389.312977099237,initial
0,0,2,51,0.134,380.597014925373,initial
0,0,2,61,0.133,458.646616541353,initial
0,0,2,48,0.134,358.208955223881,initial
0,0,2,51,0.13,392.307692307692,initial
0,0,3,51,0.131,389.312977099237,initial
0,0,3,54,0.132,409.090909090909,initial
0,0,3,59,0.133,443.609022556391,initial
0,0,3,52,0.132,393.939393939394,initial
0,0,3,64,0.13,492.307692307692,initial
0,0,4,43,0.131,328.24427480916,initial
0,0,4,40,0.132,303.030303030303,initial
0,0,4,27,0.131,206.106870229008,initial
0,0,4,40,0.13,307.692307692308,initial
0,0,4,35,0.13,269.230769230769,initial
0,0,5,43,0.13,330.769230769231,initial
0,0,5,37,0.131,282.442748091603,initial
0,0,5,38,0.13,292.307692307692,initial
0,0,5,52,0.132,393.939393939394,initial
0,0,5,49,0.13,376.923076923077,initial
0,0.02,0,16,0.118,135.593220338983,followup
0,0.02,0,21,0.111,189.189189189189,followup
0,0.02,0,13,0.111,117.117117117117,followup
0,0.02,0,9,0.117,76.9230769230769,followup
0,0.02,0,24,0.112,214.285714285714,followup
0,0.02,0,22,0.112,196.428571428571,followup
0,0.02,0.02,16,0.11,145.454545454545,followup
0,0.02,0.02,19,0.11,172.727272727273,followup
0,0.02,0.02,11,0.119,92.436974789916,followup
0,0.02,0.02,14,0.11,127.272727272727,followup
0,0.02,0.02,12,0.117,102.564102564103,followup
0,0.02,0.02,12,0.123,97.5609756097561,followup
0,0.02,0.05,11,0.098,112.244897959184,followup
0,0.02,0.05,13,0.099,131.313131313131,followup
0,0.02,0.05,16,0.102,156.862745098039,followup
0,0.02,0.05,21,0.105,200,followup
0,0.02,0.05,13,0.101,128.712871287129,followup
0,0.02,0.05,14,0.1,140,followup
0,0.02,0.1,10,0.114,87.719298245614,followup
0,0.02,0.1,12,0.1,120,followup
0,0.02,0.1,10,0.104,96.1538461538462,followup
0,0.02,0.1,14,0.101,138.613861386139,followup
0,0.02,0.1,18,0.097,185.567010309278,followup
0,0.02,0.1,13,0.094,138.297872340426,followup
0,0.02,0.2,9,0.085,105.882352941176,followup
0,0.02,0.2,15,0.091,164.835164835165,followup
0,0.02,0.2,19,0.143,132.867132867133,followup
0,0.02,0.2,19,0.094,202.127659574468,followup
0,0.02,0.2,17,0.089,191.011235955056,followup
0,0.02,0.2,11,0.094,117.021276595745,followup
0,0.02,0.5,9,0.093,96.7741935483871,followup
0,0.02,0.5,16,0.095,168.421052631579,followup
0,0.02,0.5,11,0.11,100,followup
0,0.02,0.5,14,0.152,92.1052631578947,followup
0,0.02,0.5,12,0.11,109.090909090909,followup
0,0.02,0.5,13,0.096,135.416666666667,followup
0,0.05,0,15,0.113,132.743362831858,followup
0,0.05,0,11,0.112,98.2142857142857,followup
0,0.05,0,20,0.11,181.818181818182,followup
0,0.05,0,17,0.11,154.545454545455,followup
0,0.05,0,13,0.113,115.044247787611,followup
0,0.05,0,20,0.114,175.438596491228,followup
0,0.05,0.02,11,0.123,89.4308943089431,followup
0,0.05,0.02,21,0.111,189.189189189189,followup
0,0.05,0.02,17,0.113,150.442477876106,followup
0,0.05,0.02,21,0.113,185.840707964602,followup
0,0.05,0.02,15,0.113,132.743362831858,followup
0,0.05,0.02,16,0.114,140.350877192982,followup
0,0.05,0.05,15,0.09,166.666666666667,followup
0,0.05,0.05,14,0.102,137.254901960784,followup
0,0.05,0.05,14,0.103,135.922330097087,followup
