M,C4Independent,C12Independent,C4Hierarchy,C12Hierarchy,C4Reciprocal,C12Reciprocal,C4IndependentPlus,C12IndependentPlus,C4HierarchyPlus,C12HierarchyPlus,LasBIndependent,LasBIndependentPlus,LasBHierarchy,LasBHierarchyPlus,LasBReciprocal
0,0.0423632424938088,0.516827386711838,2.26049011401775,0.516827386711838,2.32837595402466,1.27907224288464,0.923345554301463,1.19287484310823,2.32486852977715,1.19287484310823,6281.21682171174,25308.1759968412,20720.0571373235,28003.3195285539,28554.0419608811
0.01,0.0418880962910898,0.512496297219457,2.23672014453874,0.512496297219457,2.30452113226811,1.27073077791414,0.900012993838682,1.18454191971536,2.30100317674554,1.18454191971536,6229.83198297545,25155.4235329209,20627.7441446187,27926.9312522098,28482.1393874723
0.02,0.0414234554193683,0.508215947387069,2.21341701451643,0.508215947387069,2.28113767992707,1.26248822309945,0.877186758563437,1.17630595276199,2.27760898400369,1.17630595276199,6179.33555953895,25001.1856287922,20535.8182868877,27850.791112874,28410.501662401
0.03,0.0409689763767704,0.503985460014045,2.19056706994247,0.503985460014045,2.2582118256455,1.25434285320778,0.854854018580106,1.16816526112987,2.25467218411175,1.16816526112987,6129.70432296235,24845.4288242206,20444.2773313904,27774.8977581902,28339.1273492819
0.04,0.0405243304305291,0.499803978088956,2.16815718251339,0.499803978088956,2.23573032835107,1.24629298276197,0.833002522267376,1.16011820234807,2.23217953976152,1.16011820234807,6080.91586287282,24688.1198308323,20353.1190699399,27699.2498493041,28268.0150247258
0.05,0.0400892028339714,0.495670664212974,2.14617472458636,0.495670664212974,2.21368045199284,1.23833696490362,0.811620572150564,1.15216317148874,2.21011831852133,1.15216317148874,6032.94855103568,24529.2256460712,20262.3413184859,27623.8460606533,28197.1632781507
0.06,0.0396632920926579,0.491584700042943,2.12460754555281,0.491584700042943,2.19204994170918,1.23047319029501,0.790697002169533,1.14429860010058,2.18847626901067,1.14429860010058,5985.78150730195,24368.7136802899,20171.9419167065,27548.6850797622,28126.5707115965
0.07,0.0392463092761229,0.487545285753325,2.10344394953707,0.487545285753325,2.17082700133219,1.2227000860582,0.770221156230438,1.13652295517842,2.16724159841109,1.13652295517842,5939.39456731936,24206.5518979863,20081.9187276121,27473.7656070402,28056.2359395431
0.08,0.0388379773719513,0.483551639516285,2.0826726743342,0.483551639516285,2.15000027214212,1.21501611474995,0.750182867933976,1.12883473816755,2.14640295122658,1.12883473816755,5893.76825190179,24042.7089742191,19992.2696371571,27399.0863555844,27986.1575887328
0.09,0.038438030679194,0.47960299699921,2.06228287150733,0.47960299699921,2.12955881279142,1.20741977337099,0.730572441376378,1.12123248400142,2.12594938921344,1.12123248400142,5848.88373795905,23877.1544672412,19902.9925538626,27324.6460509866,27916.3342979954
0.1,0.0380462142383607,0.475698610878975,2.04226408757091,0.475698610878975,2.1094920803241,1.19990959240828,0.711380632922225,1.11371476017142,2.10587037240489,1.11371476017142,5804.72283089519,23709.8590083852,19814.0854084474,27250.4434311436,27846.7647180774
0.11,0.0376622832954491,0.47183775037232,2.02260624619113,0.47183775037232,2.08978991222119,1.1924841349091,0.692598633850245,1.10628016582749,2.08615574116176,1.10628016582749,5761.26793839013,23540.7945102059,19725.5461534682,27176.4772460716,27777.447511474
0.12,0.03728600279767,0.468019700781705,2.00329963134018,0.468019700781705,2.07044250940825,1.1851419955856,0.674218053774713,1.09892733090839,2.06679569918479,1.09892733090839,5718.50204548439,23369.9343938323,19637.3727629683,27102.7462577245,27708.3813522646
0.13,0.0369171469187059,0.464243763056058,1.9843348713451,0.464243763056058,2.0514404201653,1.17788179994879,0.65623090474586,1.09165491530048,2.04778079742911,1.09165491530048,5676.40869089245,23197.2538364029,19549.563232135,27029.2492398153,27639.5649259513
0.14,0.0365554986115115,0.46050925336586,1.96570292377632,0.46050925336586,2.03277452488376,1.17070220347069,0.638629585933065,1.08446160802393,2.02910191886558,1.08446160802393,5634.97194447463,23022.7300393432,19462.1155769647,26955.9849776414,27570.9969293011
0.15,0.0362008491868127,0.456815502691997,1.9473950611248,0.456815502691997,2.01443602161884,1.16360189077375,0.621406868794371,1.07734612644531,2.01075026403725,1.07734612644531,5594.17638580226,22846.3425180865,19375.0278339364,26882.9522679135,27502.6760701902
0.16,0.0358529979156029,0.45316185642789,1.92940285722018,0.45316185642789,1.9964164123894,1.15657957484635,0.604555882635446,1.07030721551562,1.99271733736311,1.07030721551562,5554.0070837547,22668.0734136431,19288.2980596923,26810.1499185874,27434.601067452
0.17,0.03551175165406,0.449547673994388,1.91171817434559,0.449547673994388,1.9787074901805,1.14963399628354,0.588070100460326,1.06334364703275,1.97499493414436,1.06334364703275,5514.44957709114,22487.9078261631,19201.9243307269,26737.5767486993,27366.7706507274
0.18,0.0351769244894262,0.445972328466959,1.89433315100775,0.445972328466959,1.96130132660697,1.14276392255194,0.571943325015492,1.05645421892741,1.95757512823152,1.05645421892741,5475.48985594298,22305.8341703296,19115.9047430821,26665.2315882046,27299.1835603186
0.19,0.0348483374054994,0.442435206214712,1.87724019032391,0.442435206214712,1.9441902601992,1.13596814727811,0.556169674928096,1.04963775457188,1.94045026031349,1.04963775457188,5437.11434417676,22121.8445520364,19030.23741205,26593.1132778192,27231.8385470452
0.2,0.0345258179664837,0.438935706550829,1.86043194898956,0.438935706550829,1.92736688527467,1.12924548955925,0.540743570838689,1.04289310211043,1.9236129267923,1.04289310211043,5399.30988258011,21935.9351653587,18944.920471883,26521.2206688644,27164.7343721029
0.21,0.0342092000180357,0.435473241393975,1.8439013267933,0.435473241393975,1.91082404136155,1.12259479329567,0.525659721428871,1.03621913381087,1.90705596920972,1.03621913381087,5362.06371282638,21748.1067082927,18859.9520755098,26449.5526231146,27097.8698069251
0.22,0.0338983234044288,0.432047234940293,1.82764145664755,0.432047234940293,1.89455480314249,1.11601492654411,0.510913109245125,1.02961474543634,1.89077246419387,1.02961474543634,5325.36346217618,21558.3648151418,18775.330394258,26378.108012648,27031.243633047
0.23,0.0335930337008308,0.428657123345603,1.81164569510569,0.428657123345603,1.87855247088915,1.10950478089111,0.496498976221972,1.02307885563661,1.87475571389653,1.02307885563661,5289.19712887683,21366.7205027352,18691.0536175837,26306.8857196998,26964.8546419721
0.24,0.0332931819597651,0.425302354417426,1.7959076133382,0.425302354417426,1.86281056135963,1.10306327084584,0.482412808810914,1.01661040535826,1.85899923689315,1.01661040535826,5253.55306822264,21173.1906269057,18607.1199528065,26235.8846365188,26898.7016350415
0.25,0.0329986244708865,0.421982387316494,1.78042098854197,0.421982387316494,1.847322799133,1.09668933325159,0.468650322626677,1.01020835727294,1.84349675951981,1.01020835727294,5218.4199792417,20977.7983448133,18523.5276248504,26165.1036652259,26832.7834233049
0.26,0.0327092225332655,0.418696692267393,1.76517979575896,0.418696692267393,1.83208310835656,1.09038192671526,0.455207446529398,1.00387169522315,1.82824220762292,1.00387169522315,5183.78689197625,20780.5735778042,18440.2748759916,26094.5417176764,26767.0988273945
0.27,0.0324248422394283,0.41544475027803,1.75017820008137,0.41544475027803,1.81708560488314,1.0841400310543,0.442080306071089,0.997599423684971,1.81322969869862,0.997599423684971,5149.64315532633,20581.5534685482,18357.3599656104,26024.1977153234,26701.6466774016
0.28,0.0321453542704534,0.412226052867594,1.73541054922241,0.412226052867594,1.80232458877697,1.07796264676031,0.429265206247153,0.991390567246961,1.79845353440096,0.991390567246961,5115.97842542758,20380.782825227,18274.7811699497,25954.0705890853,26636.4258127539
0.29,0.0318706337014689,0.409040101802735,1.7208713664326,0.409040101802735,1.78779453716835,1.07184879447895,0.416758613509371,0.985244170104854,1.78390819339848,0.985244170104854,5082.78265453609,20178.3145445785,18192.5367818788,25884.1592792147,26571.435082097
