N,C4Independent,C12Independent,C4Hierarchy,C12Hierarchy,C4Reciprocal,C12Reciprocal,C4IndependentPlus,C12IndependentPlus,C4HierarchyPlus,C12HierarchyPlus,LasBIndependent,LasBIndependentPlus,LasBHierarchy,LasBHierarchyPlus,LasBReciprocal
0,0,0,0,0,0,0,0,0,0,0,1587.899,1587.899,1587.899,1587.899,1587.899
0.002,7.44494396426575e-05,3.95388094430977e-05,0.00199385080374439,3.95388094430977e-05,0.00201787826580797,0.000541666094344552,7.46568230061391e-05,3.97690487463865e-05,0.00199386192673015,3.97690487463865e-05,1703.67742000159,1703.67818636522,1703.70654356319,1703.70747647108,1705.74489853835
0.004,0.000148936037651309,7.95676914786822e-05,0.0039925588339408,7.95676914786822e-05,0.00412621124198353,0.00150224755074017,0.000149768265368123,8.05054622190741e-05,0.00399264932501745,8.05054622190741e-05,1703.81239451285,1703.81555576238,1703.92863441522,1703.93314218048,1710.82786600953
0.006,0.000223459816656867,0.000120095556508493,0.00599618725851786,0.000120095556508493,0.00633933210158727,0.00260652270305818,0.000225338427167126,0.000122244434210101,0.00599649788376793,0.000122244434210101,1703.95135341623,1703.95868836472,1704.21235351743,1704.22428234014,1718.28305939211
0.008,0.000298020799303435,0.000161131525716598,0.00800480062662543,0.000161131525716598,0.00865688105757262,0.00378278223538307,0.000301371457133051,0.00016502285925889,0.00800554961344547,0.00016502285925889,1704.09436946826,1704.10781646684,1704.55746123347,1704.58191844013,1728.04620393189
0.01,0.000372619008248313,0.000202684937130353,0.0100184649034983,0.000202684937130353,0.0110754222550017,0.00500391374596594,0.00037787155335581,0.000208879434876218,0.0100199532038794,0.000208879434876218,1704.24151704868,1704.26318384974,1704.9637566137,1705.00717212994,1740.13756798674
0.012,0.000447254466161997,0.000244765351883642,0.0120372475063174,0.000244765351883642,0.0135907412107923,0.00625748137539267,0.000454842964008879,0.000253854771092181,0.012039864406102,0.000253854771092181,1704.39287230585,1704.42504658669,1705.4310767947,1705.50126954121,1754.59478457039
0.014,0.000521927195728187,0.000287382560689948,0.0140612173410988,0.000287382560689948,0.0161985002212384,0.00753705256733385,0.000532289988085395,0.000299991507934874,0.0140654464400671,0.000299991507934874,1704.54851322249,1704.59367381957,1705.95929645641,1706.06554602436,1771.45444435702
0.016,0.000596637219643783,0.000330546590533118,0.0160904448406421,0.000330546590533118,0.0188944590389552,0.00883901643835445,0.000610216976147012,0.00034733444150324,0.0160968704302585,0.00034733444150324,1704.70851967312,1704.76934858126,1706.54832733765,1706.70145133249,1790.74622026724
0.018,0.000671384560618894,0.000374267711583991,0.0181250020035699,0.000374267711583991,0.0216745524392287,0.0101612231875146,0.000688628331085806,0.000395930659360167,0.0181343158713731,0.000395930659360167,1704.87297348101,1704.95236867664,1707.19811780824,1707.41055528672,1812.49107923639
0.02,0.000746169241376838,0.000418556444351395,0.0201649624344919,0.000418556444351395,0.0245349141245556,0.0115023351523857,0.000767528508899455,0.000445829686041045,0.020177971126451,0.000445829686041045,1705.04195847635,1705.14304762914,1707.9086524962,1708.19455396062,1836.70103230209
0.022,0.000820991284654146,0.000463423567076366,0.0222104013853279,0.000463423567076366,0.0274718789855166,0.0128614908377681,0.000846922019479987,0.000497083639549409,0.0222280339600337,0.000497083639549409,1705.21556055623,1705.34171569889,1708.67995196842,1709.05527642539,1863.37951027864
0.024,0.000895850713200561,0.000508880123378789,0.0242613957978237,0.000508880123378789,0.03048197645059,0.0142381194934005,0.000926813427416347,0.000549747399795776,0.02428471210916,0.000549747399795776,1705.39386774648,1705.54872097904,1709.51207246348,1709.99469210165,1892.52199592921
0.026,0.000970747549779046,0.000554937430166054,0.0263180243472968,0.000554937430166054,0.0335619203611088,0.0156318334062317,0.00100720735281107,0.00060387879002933,0.0263482238952556,0.00060387879002933,1705.57697026566,1705.76443057714,1710.40510567518,1711.01491876905,1924.11674959426
0.028,0.00104568181716578,0.000601607085813681,0.0283803674876493,0.000601607085813681,0.0367085977937623,0.0170423626671678,0.00108810847211136,0.000659538772415626,0.028418798880246,0.000659538772415626,1705.76496059124,1705.9892318892,1711.35917858594,1712.11823128974,1958.14555167847
0.03,0.00112065353815018,0.000648900978628306,0.030448507497684,0.000648900978628306,0.0399190579247634,0.0184695142736283,0.00116952151895483,0.000716791659028306,0.0304966785705208,0.000716791659028306,1705.95793352803,1706.22353397498,1712.37445334879,1713.30707110828,1994.5844247364
