C12,LasIPlus,LasI(C4=0),LasI(C4=0.4),LasI(C4=0.8),LasI(C4=1.2),LasI(C4=1.6),LasI(C4=2)
0,1670.1094,1670.1094,4162.48093031408,5573.50177844929,6481.46137451966,7114.6870460647,7581.48762062265
0.004,3656.06588900012,2693.98474159268,53766.6888224942,55337.3917939726,56298.8122961123,56958.8124241172,57441.6917814725
0.008,5577.10008699407,3684.38889021155,54757.0929711131,56327.7959425915,57289.2164447312,57949.2165727361,58432.0959300914
0.012,7436.34432680344,4642.93674444852,55715.64082535,57286.3437968285,58247.7642989682,58907.7644269731,59390.6437843283
0.016,9236.7326279951,5571.14096095186,56643.8450418534,58214.5480133318,59175.9685154715,59835.9686434764,60318.8480008317
0.02,10981.0161467732,6470.41991973843,57543.1240006399,59113.8269721184,60075.2474742581,60735.247602263,61218.1269596183
0.024,12671.7772036551,7342.10495627119,58414.8090371727,59985.5120086511,60946.9325107908,61606.9326387957,62089.811996151
0.028,14311.4420393621,8187.44693785821,59260.1510187597,60830.8539902382,61792.2744923779,62452.2746203827,62935.153977738
0.032,15902.2924314443,9007.62225269411,60080.3263335956,61651.0293050741,62612.4498072138,63272.4499352186,63755.329292574
0.036,17446.4762886078,9803.73827184776,60876.4423527493,62447.1453242277,63408.5658263674,64068.5659543723,64551.4453117276
0.04,18946.0173261854,10576.8383375269,61649.5424184284,63220.2453899069,64181.6658920466,64841.6660200515,65324.5453774068
0.044,20402.8239144034,11327.906324871,62400.6104057725,63971.313377251,64932.7338793907,65592.7340073955,66075.6133647508
0.048,21818.6971807928,12057.8708192121,63130.5749001136,64701.277871592,65662.6983737317,66322.6985017366,66805.5778590919
0.052,23195.3384390782,12767.6089460969,63840.3130269984,65411.0159984768,66372.4365006165,67032.4366286214,67515.3159859767
0.056,24534.3560089715,13457.949887284,64530.6539681856,66101.356939664,67062.7774418037,67722.7775698086,68205.6569271639
0.06,25837.2714843469,14129.678112351,65202.3821932526,66773.085164731,67734.5056668707,68394.5057948756,68877.3851522309
0.064,27105.525501159,14783.5363523891,65856.2404332906,67426.943404769,68388.3639069087,69048.3640349136,69531.2433922689
0.068,28340.4830510724,15420.2283394863,66492.9324203878,68063.6353918662,69025.0558940059,69685.0560220108,70167.9353793661
0.072,29543.4383820049,16040.4213332408,67113.1254141423,68683.8283856208,69645.2488877605,70305.2490157654,70788.1283731206
0.076,30715.6195225711,16644.7484533733,67717.4525342748,69288.1555057532,70249.5760078929,70909.5761358978,71392.4554932531
