C4,RhlIPlus,RhlI(C12=0),RhlI(C12=0.4),RhlI(C12=0.8),RhlI(C12=1.2),RhlI(C12=1.6),RhlI(C12=2)
0,1860.7717,49786.0727,105681.402553284,109108.879720969,110346.730737798,110985.232572773,111374.837380945
0.004,2162.68946068435,49810.9569770402,105706.286830324,109133.763998009,110371.615014838,111010.116849813,111399.721657986
0.008,2463.10558737749,49835.7174883366,105731.04734162,109158.524509306,110396.375526134,111034.87736111,111424.482169282
0.012,2762.03125519707,49860.3551549502,105755.685008234,109183.162175919,110421.013192748,111059.515027723,111449.119835895
0.016,3059.47752864861,49884.8708888255,105780.200742109,109207.677909795,110445.528926623,111084.030761599,111473.635569771
0.02,3355.45536299061,49909.2655929026,105804.595446186,109232.072613872,110469.9236307,111108.425465676,111498.030273848
0.024,3649.97560557964,49933.5401612286,105828.870014512,109256.347182198,110494.198199026,111132.700034002,111522.304842174
0.028,3943.04899719549,49957.695479066,105853.02533235,109280.502500035,110518.353516864,111156.855351839,111546.460160011
0.032,4234.6861733469,49981.7324230011,105877.062276285,109304.53944397,110542.390460799,111180.892295774,111570.497103946
0.036,4524.89766555806,50005.6518610497,105900.981714333,109328.458882019,110566.309898847,111204.811733823,111594.416541995
0.04,4813.69390263644,50029.4546527614,105924.784506045,109352.261673731,110590.112690559,111228.614525535,111618.219333707
0.044,5101.08521192194,50053.141649323,105948.471502607,109375.948670292,110613.799687121,111252.301522096,111641.906330268
0.048,5387.08182051799,50076.7136936597,105972.043546943,109399.520714629,110637.371731457,111275.873566433,111665.478374605
0.052,5671.69385650467,50100.1716205349,105995.501473819,109422.978641504,110660.829658333,111299.331493308,111688.93630148
0.056,5954.93135013436,50123.5162566494,106018.846109933,109446.323277619,110684.174294447,111322.676129423,111712.280937595
0.06,6236.80423500999,50146.7484207376,106042.078274021,109469.555441707,110707.406458535,111345.908293511,111735.513101683
0.064,6517.32234924641,50169.8689236642,106065.198776948,109492.675944633,110730.526961462,111369.028796437,111758.633604609
0.068,6796.49543661496,50192.8785685175,106088.208421801,109515.685589487,110753.536606315,111392.038441291,111781.643249463
0.072,7074.33314767168,50215.7781507034,106111.108003987,109538.585171673,110776.436188501,111414.938023477,111804.542831649
0.076,7350.84504086938,50238.5684580362,106133.89831132,109561.375479005,110799.226495834,111437.728330809,111827.333138982
0.08,7626.04058365373,50261.2502708298,106156.580124114,109584.057291799,110821.908308628,111460.410143603,111850.014951775
0.084,7899.92915354386,50283.8243619858,106179.15421527,109606.631382955,110844.482399784,111482.984234759,111872.589042931
0.088,8172.5200391975,50306.291497082,106201.621350366,109629.098518051,110866.94953488,111505.451369855,111895.056178027
0.092,8443.82244146108,50328.6524344588,106223.982287743,109651.459455428,110889.310472257,111527.812307232,111917.417115404
0.096,8713.84547440493,50350.9079253044,106246.237778588,109673.714946274,110911.565963102,111550.067798078,111939.67260625
0.1,8982.59816634392,50373.0587137389,106268.388567023,109695.865734708,110933.716751537,111572.218586512,111961.823394684
0.104,9250.08946084367,50395.1055368973,106290.435390181,109717.912557866,110955.763574695,111594.26540967,111983.870217843
0.108,9516.32821771266,50417.0491250113,106312.378978295,109739.856145981,110977.707162809,111616.208997784,112005.813805957
0.112,9781.32321398043,50438.8902014901,106334.220054774,109761.697222459,110999.548239288,111638.050074263,112027.654882435
0.116,10045.0831448621,50460.6294829994,106355.959336283,109783.436503969,111021.287520797,111659.789355773,112049.394163945
0.12,10307.6166247095,50482.2676795403,106377.597532824,109805.074700509,111042.925717338,111681.427552313,112071.032360486
0.124,10568.9321879488,50503.8054945262,106399.13534781,109826.612515495,111064.463532324,111702.965367299,112092.570175471
0.128,10829.0382900057,50525.2436248593,106420.573478143,109848.050645829,111085.901662657,111724.403497632,112114.008305805
