c4,c12,mean_expression
0,0,1587.899
0,.1,2866.5613
0,.5,3176.8921
0,1,3941.4956
0,2,5002.647
0,3,5804.0508
0,4,6438.7983
0,5,7423.1333
.1,0,1552.1083
.1,.1,6886.7109
.1,.5,11232.501
.1,1,12509.521
.1,2,18133.551
.1,3,18399.043
.1,4,26048.594
.1,5,26423.932
.5,0,1746.6453
.5,.1,10453.374
.5,.5,13166.563
.5,1,18004.113
.5,2,20274.09
.5,3,23329.033
.5,4,23803.557
.5,5,28056.699
1,0,1753.3418
1,.1,10383.011
1,.5,14683.235
1,1,18769.732
1,2,23448.736
1,3,26292.781
1,4,33313.914
1,5,36228.289
2,0,1659.226
2,.1,12482.859
2,.5,18937.85
2,1,20821.266
2,2,28775.102
2,3,27835.836
2,4,33956.535
2,5,33659.367
3,0,1847.7223
3,.1,12130.195
3,.5,23849.785
3,1,23627.506
3,2,37504.91
3,3,32053.393
3,4,48295.09
3,5,41049.078
4,0,1657.918
4,.1,15166.792
4,.5,20843.342
4,1,24490.01
4,2,29593.727
4,3,32090.693
4,4,33142.836
4,5,37972.918
5,0,1707.8635
5,.1,15497.158
5,.5,23969.707
5,1,28105.234
5,2,33977.336
5,3,36552.91
5,4,45888.797
5,5,47755.938
