c4,c12,rlu_od
0,0,1770.9751
0,0,1796.3801
0,0,1743.0555
0,0,1714.9321
0,0,1772.093
0,0,1615.9696
0,0,1503.7454
0,0,1492.6471
0,0,1338.8889
0,0,1534.1959
0,0,1464.1577
0,0,1516.3636
0,0,1451.4388
0,0,1492.8315
0,0,1610.8108
0,.1,3062.9214
0,.1,3116.1138
0,.1,3006.6372
0,.1,3329.6704
0,.1,3325.2212
0,.1,2762.3574
0,.1,2949.627
0,.1,2789.9629
0,.1,2814.5161
0,.1,2706.8645
0,.1,2753.1992
0,.1,2483.1262
0,.1,2546.4099
0,.1,2705.7761
0,.1,2646.0176
0,.5,3534.2163
0,.5,3306.5217
0,.5,3277.2925
0,.5,3472.5276
0,.5,3210.4121
0,.5,3159.8513
0,.5,3255.9414
0,.5,3045.5374
0,.5,2976.2339
0,.5,3049.5413
0,.5,2996.5928
0,.5,3000
0,.5,3029.2097
0,.5,3290.4348
0,.5,3049.0693
0,1,4006.6667
0,1,4199.105
0,1,4251.1016
0,1,4195.1221
0,1,4105.2632
0,1,3802.583
0,1,3840.4453
0,1,3975.6099
0,1,3699.262
0,1,3938.0864
0,1,3865.5461
0,1,3806.9307
0,1,3754.5911
0,1,3907.8728
0,1,3774.2476
0,2,5714.8936
0,2,5108.0508
0,2,5278.8262
0,2,5189.0757
0,2,5163.8657
0,2,4963.9639
0,2,4810.3755
0,2,4787.5
0,2,4718.6382
0,2,4955.2773
0,2,4730.0815
0,2,5112.228
0,2,5048.7393
0,2,4794.7881
0,2,4663.3989
0,3,6130.6211
0,3,6389.6104
0,3,6076.5957
0,3,6184.1543
0,3,6110.1514
0,3,5469.5342
0,3,5760.3604
0,3,5658.2734
0,3,5768.5352
0,3,5327.3701
0,3,5551.0537
0,3,5600.3237
0,3,5685.2461
0,3,5648.6045
0,3,5700.3257
0,4,6528.7847
0,4,7283.5498
0,4,6496.8018
0,4,6417.0215
0,4,6427.3506
0,4,6168.7842
0,4,6024.9111
0,4,6096.6606
0,4,7044.2803
0,4,6215.5796
0,4,6954.0034
0,4,6226.9736
0,4,6531.7725
0,4,6099.3589
0,4,6066.1416
0,5,8210.1914
0,5,7552.2388
0,5,7628.4502
0,5,7959.5747
0,5,7219.1489
0,5,7861.21
0,5,7183.5664
0,5,6970.4346
0,5,7251.7729
0,5,7196.8911
0,5,6905.8643
0,5,7115.625
0,5,6713.1899
0,5,8004.8545
0,5,7573.9839
.1,0,1409.7996
.1,0,1705.8823
.1,0,1392.936
.1,0,1396.0613
.1,0,1469.163
.1,0,1503.7313
.1,0,1374.5454
.1,0,1500
.1,0,1589.2194
.1,0,1669.2015
.1,0,1697.2972
.1,0,1597.1979
.1,0,1497.4874
.1,0,1819.0299
.1,0,1660.0719
.1,.1,5373.2393
.1,.1,5464.6226
.1,.1,5778.3018
.1,.1,5406.542
.1,.1,6311.6592
.1,.1,7267.6582
.1,.1,7033.1494
.1,.1,8069.4697
.1,.1,6981.7183
.1,.1,7411.2148
.1,.1,8155.0522
.1,.1,7062.603
.1,.1,7116.9688
.1,.1,8401.0156
.1,.1,7467.4458
.1,.5,12087.527
.1,.5,9863.5352
.1,.5,8113.4258
.1,.5,7979.021
.1,.5,8700
.1,.5,12163.375
.1,.5,12062.724
.1,.5,13980.427
.1,.5,12629.696
.1,.5,12045.045
.1,.5,11259.494
.1,.5,11911.33
.1,.5,11378.98
.1,.5,13025.848
.1,.5,11287.081
.1,1,8583.7207
.1,1,12634.573
.1,1,9391.3047
.1,1,11213.809
.1,1,9145.125
.1,1,14662.021
.1,1,13908.932
.1,1,14064.286
.1,1,14107.206
.1,1,13652.406
.1,1,13282.504
.1,1,13753.993
.1,1,13130.094
.1,1,13193.038
.1,1,12919.812
.1,2,12408.983
.1,2,12552.381
.1,2,12121.141
.1,2,21645.021
.1,2,15809.195
.1,2,21231.885
.1,2,19755.834
.1,2,19556.963
.1,2,24037.037
.1,2,19845.324
.1,2,18139.115
.1,2,17847.65
.1,2,20027.07
.1,2,18283.85
.1,2,18741.83
.1,3,13334.106
.1,3,20358.242
.1,3,13786.207
.1,3,16154.362
.1,3,13712.963
.1,3,20551.971
.1,3,20951.957
.1,3,20307.002
.1,3,20417.111
.1,3,22571.93
.1,3,18427.652
.1,3,18918.832
.1,3,18109.678
.1,3,18229.033
.1,3,20154.59
.1,4,27916.666
.1,4,22708.83
.1,4,24293.27
.1,4,22529.551
.1,4,22733.01
.1,4,32896.352
.1,4,29602.541
.1,4,29161.172
.1,4,27987.18
.1,4,28378.182
.1,4,24013.137
.1,4,26421.053
.1,4,23630.719
.1,4,24125
.1,4,24332.248
.1,5,22834.111
.1,5,23343.318
.1,5,23413.242
.1,5,27675.355
.1,5,22775.744
.1,5,29242.369
.1,5,31535.01
.1,5,29179.023
.1,5,29384.615
.1,5,30112.902
.1,5,25021.277
.1,5,25549.594
.1,5,25074.014
.1,5,24890.523
.1,5,26327.896
.5,0,1713.964
.5,0,1856.8232
.5,0,1799.1072
.5,0,1685.2678
.5,0,1739.229
.5,0,1521.5759
.5,0,1730.6968
.5,0,1815.175
.5,0,1562.963
.5,0,1712.3552
.5,0,1851.8518
.5,0,1694.4445
.5,0,1881.8011
.5,0,1829.5454
.5,0,1804.8781
.5,.1,11200.903
.5,.1,11165.605
.5,.1,8709.7461
.5,.1,9869.748
.5,.1,10540.541
.5,.1,9710.7139
.5,.1,11087.108
.5,.1,12444.444
.5,.1,10932.174
.5,.1,10472.469
.5,.1,10032.813
.5,.1,10108.15
.5,.1,9439.2217
.5,.1,11188.103
.5,.1,9898.876
.5,.5,12903.886
.5,.5,13190.965
.5,.5,13157.143
.5,.5,12964.583
.5,.5,13319.756
.5,.5,14433.555
.5,.5,13654.036
.5,.5,13743.134
.5,.5,13773.771
.5,.5,13810.855
.5,.5,12310.448
.5,.5,12435.241
.5,.5,12169.415
.5,.5,13007.599
.5,.5,12624.071
.5,1,19282.428
.5,1,16273.109
.5,1,18190.889
.5,1,18059.701
.5,1,17150.742
.5,1,20373.494
.5,1,18142.617
.5,1,19598.291
.5,1,19006.791
.5,1,20340.102
.5,1,17059.189
.5,1,16220.339
.5,1,15561.832
.5,1,17600.309
.5,1,17201.879
.5,2,21248.98
.5,2,20919.588
.5,2,20831.623
.5,2,21912.316
.5,2,21194.273
.5,2,21208.539
.5,2,21915.842
.5,2,21138.158
.5,2,22089.553
.5,2,20968.904
.5,2,18730.184
.5,2,18794.521
.5,2,17881.023
.5,2,17613.193
.5,2,17664.662
.5,3,22667.359
.5,3,23391.121
.5,3,26296.537
.5,3,21708.51
.5,3,21947.369
.5,3,24386.936
.5,3,27556.877
.5,3,24317.113
.5,3,25939.395
.5,3,25087.102
.5,3,20944.869
.5,3,20285.715
.5,3,21912.443
.5,3,22670.262
.5,3,20823.891
.5,4,24088.422
.5,4,24138.717
.5,4,24291.404
.5,4,24091.666
.5,4,26335.404
.5,4,24561.057
.5,4,26026.982
.5,4,25109.092
.5,4,25596.99
.5,4,25630.363
.5,4,21594.137
.5,4,21415.902
.5,4,22053.436
.5,4,20757.529
.5,4,21362.252
.5,5,24761.389
.5,5,27949.672
.5,5,26155.982
.5,5,26467.949
.5,5,31095.445
.5,5,29855.441
.5,5,33251.723
.5,5,30033.898
.5,5,30573.604
.5,5,31338.488
.5,5,25498.451
.5,5,26217.188
.5,5,27344.883
.5,5,25320.373
.5,5,24986.004
1,0,1600.8584
1,0,1552.9158
1,0,1581.8966
1,0,1671.7391
1,0,1520.3427
1,0,1706.0999
1,0,1656.9873
1,0,1639.1941
1,0,1630.5146
1,0,1761.194
1,0,2023.7227
1,0,2087.9121
1,0,1946.2366
1,0,2021.7786
1,0,1898.7341
1,.1,8248.918
1,.1,8863.7363
1,.1,10532.584
1,.1,7845.8149
1,.1,8131.0044
1,.1,11047.781
1,.1,11242.685
1,.1,13463.845
1,.1,10886.402
1,.1,10579.487
1,.1,10311.628
1,.1,10853.846
1,.1,12288.676
1,.1,10447.205
1,.1,11001.558
1,.5,11697.571
1,.5,11520.788
1,.5,12384.279
1,.5,11754.924
1,.5,15254.697
1,.5,16925.986
1,.5,16433.555
1,.5,16054.908
1,.5,16280
1,.5,16708.475
1,.5,15135.671
1,.5,14875
1,.5,14565.413
1,.5,14757.576
1,.5,15899.696
1,1,15757.991
1,1,21021.738
1,1,14639.198
1,1,14040.358
1,1,14250.564
1,1,24027.443
1,1,21996.539
1,1,20496.609
1,1,20688.775
1,1,21042.734
1,1,17699.074
1,1,20658.385
1,1,19172.896
1,1,18185.582
1,1,17868.098
1,2,18230.248
1,2,21130.926
1,2,18175.799
1,2,26278.373
1,2,19176.201
1,2,28135.451
1,2,27195.541
