c4,c12,predicted
0,0,1587.899
0,.1,1903.7443
0,.5,2954.9531
0,1,3928.8652
0,2,5224.1172
0,3,6046.4121
0,4,6614.8047
0,5,7031.165
.1,0,1703.5464
.1,.1,4154.8433
.1,.5,9099.2578
.1,1,11852.555
.1,2,14499.587
.1,3,15882.858
.1,4,16758.32
.1,5,17368.414
.5,0,1703.5464
.5,.1,6724.9409
.5,.5,16354.979
.5,1,21249.832
.5,2,25523.785
.5,3,27582.215
.5,4,28827.246
.5,5,29670.504
1,0,1703.5464
1,.1,7558.2144
1,.5,18707.416
1,1,24296.602
1,2,29098.031
1,3,31375.359
1,4,32740.211
1,5,33659.07
2,0,1703.5464
2,.1,8096.2705
2,.5,20226.418
2,1,26263.945
2,2,31405.977
2,3,33824.648
2,4,35266.871
2,5,36234.539
3,0,1703.5464
3,.1,8299.6299
3,.5,20800.529
3,1,27007.508
3,2,32278.27
3,3,34750.363
3,4,36221.828
3,5,37207.945
4,0,1703.5464
4,.1,8406.501
4,.5,21102.24
4,1,27398.27
4,2,32736.68
4,3,35236.852
4,4,36723.684
4,5,37719.5
5,0,1703.5464
5,.1,8472.3867
5,.5,21288.244
5,1,27639.176
5,2,33019.293
5,3,35536.77
5,4,37033.078
5,5,38034.871
