c4,c12,mean_expression
0,0,1670.1094
0,.1,28090.857
0,.5,38177.242
0,1,47887.547
0,2,53622.828
0,3,59791.898
0,4,57752.309
0,5,68831.891
.1,0,2997.8115
.1,.1,69289.602
.1,.5,89213.594
.1,1,97792.906
.1,2,101552.84
.1,3,105728.74
.1,4,114858.84
.1,5,115459.73
.5,0,4793.1523
.5,.1,95269.836
.5,.5,92845.414
.5,1,97122.211
.5,2,96616.211
.5,3,100676.77
.5,4,102685.66
.5,5,102758.09
1,0,6004.6948
1,.1,89203.203
1,.5,97785.969
1,1,99013.688
1,2,104190.52
1,3,106128.85
1,4,118994.96
1,5,118009.05
2,0,6970.1797
2,.1,92167.656
2,.5,96503.789
2,1,96711.313
2,2,101372.23
2,3,100171.61
2,4,108656.16
2,5,104799.2
3,0,8840.1807
3,.1,93449.023
3,.5,110462.06
3,1,102275.34
3,2,122727.14
3,3,108919.5
3,4,136368.52
3,5,124215.47
4,0,8029.2637
4,.1,98833.344
4,.5,95589.242
4,1,100278.5
4,2,100875.3
4,3,106150.51
4,4,104380.7
4,5,112638.2
5,0,9798.1387
5,.1,102214.87
5,.5,101722.24
5,1,112435.41
5,2,110872.63
5,3,64967.484
5,4,129548.53
5,5,131722.09
