c4,c12,rlu_od
0,0,1721.9048
0,0,1843.3269
0,0,1668.6627
0,0,1753.4791
0,0,1663.3663
0,0,1843.1372
0,0,1631.3214
0,0,1518.9457
0,0,1633.0579
0,0,1601.6394
0,0,1773.8096
0,0,1547.7997
0,0,1582.5826
0,0,1573.1523
0,0,1695.4546
0,.1,34864.527
0,.1,35433.566
0,.1,33987.457
0,.1,35345.633
0,.1,36658.449
0,.1,27253.414
0,.1,25923.195
0,.1,25714.063
0,.1,27543.334
0,.1,26645.99
0,.1,21920.188
0,.1,22862.775
0,.1,22323.855
0,.1,21814.516
0,.1,23071.885
0,.5,44925.926
0,.5,43036.219
0,.5,42993.926
0,.5,46064.129
0,.5,46755.02
0,.5,39144.539
0,.5,37300
0,.5,37740.926
0,.5,38761.422
0,.5,37946.309
0,.5,31650.602
0,.5,31205.705
0,.5,32382.883
0,.5,31089.82
0,.5,31661.193
0,1,58034.352
0,1,58155.641
0,1,54944.238
0,1,59772.465
0,1,59843.211
0,1,46902.121
0,1,46063.797
0,1,46943.91
0,1,47607.656
0,1,44542.32
0,1,38670.535
0,1,39794.539
0,1,37423.512
0,1,40084.285
0,1,39530.613
0,2,60119.34
0,2,60527.426
0,2,55412.246
0,2,57636.363
0,2,55641.129
0,2,56674.063
0,2,53968.176
0,2,56051.637
0,2,58805.555
0,2,54234.402
0,2,45651.199
0,2,48332.828
0,2,45266.668
0,2,49292.609
0,2,46728.789
0,3,71302.461
0,3,70981.234
0,3,70892.25
0,3,70701.719
0,3,69019.266
0,3,58876.563
0,3,58537.723
0,3,58588.418
0,3,59190.328
0,3,59028.527
0,3,50252.137
0,3,49698.063
0,3,50456.188
0,3,49324.137
0,3,50029.453
0,4,60763.328
0,4,57261.703
0,4,57818.375
0,4,64071.281
0,4,57406.383
0,4,59796.027
0,4,60469.945
0,4,61527.574
0,4,61017.359
0,4,60760.715
0,4,54306.25
0,4,52557.352
0,4,52468.598
0,4,53921.824
0,4,52137.93
0,5,76014.766
0,5,72709.813
0,5,74773.586
0,5,75680.5
0,5,78182.008
0,5,71632.93
0,5,73232.516
0,5,72845.094
0,5,72323.578
0,5,70198.617
0,5,59379.672
0,5,59764.969
0,5,58000
