c4,c12,predicted
0,0,1670.1094
0,.1,19969.191
0,.5,43488.215
0,1,51492.543
0,2,56765.387
0,3,58780.09
0,4,59843.723
0,5,60501.137
.1,0,2456.6157
.1,.1,68399.484
.1,.5,91918.516
.1,1,99922.844
.1,2,105195.69
.1,3,107210.39
.1,4,108274.02
.1,5,108931.44
.5,0,4583.7813
.5,.1,71526.945
.5,.5,95045.969
.5,1,103050.3
.5,2,108323.14
.5,3,110337.84
.5,4,111401.48
.5,5,112058.89
1,0,6071.9043
1,.1,73143.063
1,.5,96662.086
1,1,104666.41
1,2,109939.26
1,3,111953.96
1,4,113017.59
1,5,113675.01
2,0,7581.4873
2,.1,74716.898
2,.5,98235.922
2,1,106240.25
2,2,111513.09
2,3,113527.8
2,4,114591.43
2,5,115248.84
3,0,8344.4717
3,.1,75501.344
3,.5,99020.359
3,1,107024.69
3,2,112297.53
3,3,114312.23
3,4,115375.88
3,5,116033.28
4,0,8804.918
4,.1,75972.516
4,.5,99491.547
4,1,107495.88
4,2,112768.72
4,3,114783.42
4,4,115847.05
4,5,116504.47
5,0,9112.998
5,.1,76287.039
5,.5,99806.063
5,1,107810.39
5,2,113083.23
5,3,115097.94
5,4,116161.57
5,5,116818.98
