c4,c12,mean_expression
0,0,1860.7717
0,.1,46803.012
0,.5,51580.855
0,1,57519.242
0,2,60936.559
0,3,65340.914
0,4,69563.063
0,5,69024.5
.1,0,3433.9836
.1,.1,70483.805
.1,.5,87530.109
.1,1,87869.594
.1,2,100075.5
.1,3,98842.664
.1,4,110038.61
.1,5,110452.27
.5,0,5239.063
.5,.1,100834.73
.5,.5,95991.805
.5,1,105415.38
.5,2,104107.3
.5,3,107477.63
.5,4,108942.38
.5,5,112706.63
1,0,5427.5557
1,.1,87220.375
1,.5,101217.16
1,1,105623.37
1,2,109211.3
1,3,112803.27
1,4,129594.87
1,5,127157.91
2,0,6210.0156
2,.1,100960.39
2,.5,106436.93
2,1,107377.66
2,2,117722.52
2,3,113686.66
2,4,122351.2
2,5,118227.12
3,0,8162.4097
3,.1,93819.891
3,.5,119380
3,1,110152.38
3,2,140326.91
3,3,118662
3,4,167037.44
3,5,139284.16
4,0,9730.3037
4,.1,111288.98
4,.5,108802.31
4,1,112785.73
4,2,116439.49
4,3,119075.26
4,4,120824.5
4,5,123240.46
5,0,9525.2871
5,.1,99735.859
5,.5,111471.35
5,1,116971.35
5,2,125577.63
5,3,123427.49
5,4,149086.42
5,5,138496.84
