c4,c12,rlu_od
0,0,1744.0634
0,0,1797.3684
0,0,1779.8408
0,0,1605.8201
0,0,1773.224
0,0,2024.2291
0,0,1893.7094
0,0,1930.2832
0,0,1934.6405
0,0,1883.6689
0,0,1825.8317
0,0,2115.8301
0,0,1785.7142
0,0,1911.7646
0,0,1905.5876
0,.1,49060.828
0,.1,48411.059
0,.1,38215.586
0,.1,43740.477
0,.1,43084.367
0,.1,51165.254
0,.1,50237.113
0,.1,49677.703
0,.1,53910.973
0,.1,55095.832
0,.1,42107.664
0,.1,44568.059
0,.1,43737.645
0,.1,43978.926
0,.1,45053.703
0,.5,44752.605
0,.5,39869.109
0,.5,40041.559
0,.5,38375.316
0,.5,42026.18
0,.5,59471.094
0,.5,57392.781
0,.5,62336.172
0,.5,57215.352
0,.5,56074.074
0,.5,54907.895
0,.5,54282.195
0,.5,58301.707
0,.5,55192.75
0,.5,53474.074
0,1,44726.344
0,1,48484.773
0,1,48277.637
0,1,49126.902
0,1,49956.188
0,1,64860.758
0,1,66917.195
0,1,64381.855
0,1,66444.211
0,1,64903.156
0,1,60874.074
0,1,59702.953
0,1,56060.824
0,1,59951.313
0,1,58120.438
0,2,46783.504
0,2,49987.113
0,2,51717.949
0,2,48023.02
0,2,48357.512
0,2,67188.797
0,2,65921.484
0,2,67121.148
0,2,71868.313
0,2,66334.016
0,2,65120.371
0,2,65672.219
0,2,68535.914
0,2,66603.742
0,2,64813.309
0,3,53036.27
0,3,54109.09
0,3,52234.695
0,3,52688.145
0,3,52333.332
0,3,75180.297
0,3,76949.688
0,3,73348.453
0,3,73298.758
0,3,73396.305
0,3,68159.859
0,3,67969.805
0,3,66179.578
0,3,71731.258
0,3,69498.188
0,4,57240.309
0,4,51895.012
0,4,51376.625
0,4,51669.27
0,4,51041.996
0,4,76459.461
0,4,77443.75
0,4,84068.891
0,4,76077.242
0,4,77737.289
0,4,77660.484
0,4,72115.734
0,4,77967.617
0,4,77243.859
0,4,83448.406
0,5,52681.699
0,5,52933.512
0,5,51598.426
0,5,53367.727
0,5,53955.613
0,5,78040.734
0,5,81047.914
0,5,87072.805
0,5,76686.867
